Date	Day	Spend
2026-11-01	Sun	275.32
2026-11-02	Mon	2088.69
2026-11-03	Tue	1921.36
2026-11-04	Wed	1926.18
2026-11-05	Thu	2303.32
2026-11-06	Fri	2289.45
2026-11-07	Sat	198.41
2026-11-08	Sun	194.35
2026-11-09	Mon	2202.23
2026-11-10	Tue	1975.66
2026-11-11	Wed	2543.18
2026-11-12	Thu	2500.90
2026-11-13	Fri	2303.93
2026-11-14	Sat	415.10
2026-11-15	Sun	422.55
2026-11-16	Mon	2357.43
2026-11-17	Tue	2451.38
2026-11-18	Wed	2485.36
2026-11-19	Thu	2116.13
2026-11-20	Fri	1853.64
2026-11-21	Sat	288.84
2026-11-22	Sun	407.42
2026-11-23	Mon	2061.89
2026-11-24	Tue	2016.41
2026-11-25	Wed	2142.20
2026-11-26	Thu	178.48
2026-11-27	Fri	147.42
2026-11-28	Sat	417.38
2026-11-29	Sun	331.18
2026-11-30	Mon	2648.89
